,Ni
2865,"[2511, 2512, 2620, 2621, 2622, 2740, 2744, 2745, 2867, 2989, 2990, 2991, 3112, 3113, 3114, 3234, 3235]"
2866,"[2511, 2512, 2621, 2622, 2740, 2744, 2745, 2867, 2989, 2990, 2991, 3112, 3113, 3114, 3115, 3235, 3237]"
2867,"[2512, 2622, 2744, 2745, 2867, 2989, 2990, 2991, 2993, 3112, 3113, 3114, 3115, 3116, 3237]"
2868,"[2744, 2745, 2867, 2989, 2990, 2991, 2993, 2994, 3113, 3114, 3115, 3116, 3237, 3239]"
2870,"[2744, 2745, 2867, 2990, 2991, 2993, 2994, 3115, 3116, 3118, 3239]"
2873,"[2993, 2994, 3118]"
2874,[2994]
2986,"[2620, 2621, 2740, 2989, 3112, 3113, 3232, 3233, 3234, 3235, 3354, 3355, 3356]"
2989,"[2622, 2744, 2745, 2867, 2989, 2990, 2991, 3112, 3113, 3114, 3115, 3116, 3234, 3235, 3237]"
2990,"[2744, 2745, 2867, 2989, 2990, 2991, 2993, 3112, 3113, 3114, 3115, 3116, 3235, 3237, 3239, 3360]"
2991,"[2744, 2745, 2867, 2989, 2990, 2991, 2993, 2994, 3112, 3113, 3114, 3115, 3116, 3118, 3237, 3239, 3360, 3361]"
2992,"[2744, 2745, 2867, 2989, 2990, 2991, 2993, 2994, 3113, 3114, 3115, 3116, 3118, 3237, 3239, 3360, 3361]"
2993,"[2745, 2867, 2990, 2991, 2993, 2994, 3114, 3115, 3116, 3118, 3239, 3361]"
2994,"[2991, 2993, 2994, 3115, 3116, 3118, 3239]"
2995,"[2993, 2994, 3116, 3118]"
2996,"[2993, 2994, 3118]"
2997,"[2994, 3118]"
2998,[]
2999,[]
3109,"[2740, 3112, 3232, 3233, 3234, 3235, 3354, 3355, 3356, 3477, 3478]"
3110,"[2740, 2989, 3112, 3113, 3232, 3233, 3234, 3235, 3354, 3355, 3356, 3477, 3478, 3479]"
3111,"[2740, 2989, 2990, 3112, 3113, 3114, 3232, 3233, 3234, 3235, 3237, 3354, 3355, 3356, 3478, 3479]"
3112,"[2867, 2989, 2990, 2991, 3112, 3113, 3114, 3115, 3232, 3233, 3234, 3235, 3237, 3355, 3356, 3479]"
3113,"[2744, 2867, 2989, 2990, 2991, 3112, 3113, 3114, 3115, 3116, 3233, 3234, 3235, 3237, 3239, 3356, 3360]"
3114,"[2744, 2745, 2867, 2989, 2990, 2991, 2993, 3112, 3113, 3114, 3115, 3116, 3234, 3235, 3237, 3239, 3360, 3361]"
3115,"[2744, 2745, 2867, 2989, 2990, 2991, 2993, 2994, 3112, 3113, 3114, 3115, 3116, 3118, 3235, 3237, 3239, 3360, 3361]"
3116,"[2745, 2867, 2989, 2990, 2991, 2993, 2994, 3113, 3114, 3115, 3116, 3118, 3237, 3239, 3360, 3361]"
3117,"[2990, 2991, 2993, 2994, 3114, 3115, 3116, 3118, 3237, 3239, 3360, 3361]"
